"id";"user_id";"music_id";"timestamp";"duration";"platform"
"H000144472";"U0000695";"S0008123";"2023/09/26 16:43:09";"00::02:47";"vinyl"
"H000139036";"U0000472";"S0007948";"2024/05/25 03:57:13";"00000:04:45";"web"
"H000147781";"U0000301";"S0009828";"2021/07/29 17:28:55";"00:03";"web"
"H000146144";"U0000004";"S0003845";"2019/09/10 04:44:18";"00000:04:38";"paper"
"H000148203";"U0000065";"S0008504";"2022/10/27 11:29:55";"00:04";"web"
"H000142630";"U0000783";"S0004462";"2022/02/26 13:09:47";"00000:04:10";"web"
"H000133559";"U0000599";"S0001497";"2022/09/07 12:12:55";"00000:04:09";"vinyl"
"H000137332";"U0000329";"S0004933";"2021/11/17 05:49:31";"00000000:03:11";"web"
"H000131281";"U0000415";"S0000110";"2019/04/09 07:00:34";"00::01:42";"paper"
"H000136130";"U0000223";"S0000604";"2018/12/06 07:46:20";"00000:04:40";"vinyl"
"H000138714";"U0000739";"S0008649";"2021/04/04 13:25:01";"00:03";"vinyl"
"H000142328";"U0000868";"S0008084";"2023/09/10 10:19:24";"00000000:03:25";"paper"
"H000146068";"U0000912";"S0002207";"2023/01/30 12:12:07";"00000:03:54";"vinyl"
"H000139905";"U0000081";"S0002735";"2022/12/27 03:06:30";"00:02";"paper"
"H000130422";"U0000723";"S0006365";"2019/01/26 11:08:24";"00:02";"web"
"H000131169";"U0000950";"S0005311";"2022/07/30 02:24:13";"00:04";"web"
"H000135986";"U0000296";"S0004969";"2020/11/20 04:23:22";"00::02:17";"vinyl"
"H000149292";"U0000122";"S0000975";"2021/08/22 20:44:08";"000350";"vinyl"
"H000130839";"U0000453";"S0008352";"2018/07/19 21:44:31";"00000000:04:31";"paper"
"H000138433";"U0000844";"S0004571";"2021/07/08 23:53:56";"00000:03:14";"vinyl"
"H000148720";"U0000598";"S0009157";"2023/03/12 04:40:39";"000353";"vinyl"
"H000134826";"U0000412";"S0008989";"2019/06/03 13:18:40";"000217";"web"
"H000134014";"U0000249";"S0004127";"2021/07/15 11:28:54";"00000:02:25";"paper"
"H000137335";"U0000981";"S0001944";"2021/02/28 12:28:00";"00000000:03:08";"vinyl"
"H000142568";"U0000692";"S0004749";"2024/05/17 20:32:56";"00000:04:23";"paper"
"H000134458";"U0000271";"S0000564";"2020/07/26 01:26:48";"00000:02:48";"vinyl"
"H000130076";"U0000655";"S0001729";"2018/12/21 07:49:43";"000135";"web"
